"37.7658","-122.3978","2016-06-23T20:00","NO2","4.0","PPB"
"37.7658","-122.3978","2016-06-23T20:00","CO","0.39","PPM"
"37.7658","-122.3978","2016-06-23T21:00","PM2.5","6.6","UG/M3"
"37.7658","-122.3978","2016-06-23T21:00","OZONE","25.0","PPB"
"37.7658","-122.3978","2016-06-23T21:00","NO2","4.0","PPB"
"37.7658","-122.3978","2016-06-23T21:00","CO","0.39","PPM"
"37.7658","-122.3978","2016-06-23T22:00","PM2.5","6.4","UG/M3"
"37.7658","-122.3978","2016-06-23T22:00","OZONE","24.0","PPB"
"37.7658","-122.3978","2016-06-23T22:00","NO2","4.0","PPB"
"37.7658","-122.3978","2016-06-23T22:00","CO","0.42","PPM"
"37.7658","-122.3978","2016-06-23T23:00","PM2.5","6.1","UG/M3"
"37.7658","-122.3978","2016-06-23T23:00","OZONE","24.0","PPB"
"37.7658","-122.3978","2016-06-23T23:00","NO2","3.0","PPB"
"37.7658","-122.3978","2016-06-23T23:00","CO","0.38","PPM"
"37.7658","-122.3978","2016-06-24T00:00","PM2.5","5.8","UG/M3"
"37.7658","-122.3978","2016-06-24T00:00","OZONE","23.0","PPB"
"37.7658","-122.3978","2016-06-24T00:00","NO2","5.0","PPB"
"37.7658","-122.3978","2016-06-24T00:00","CO","0.4","PPM"
"37.7658","-122.3978","2016-06-24T01:00","PM2.5","5.7","UG/M3"
"37.7658","-122.3978","2016-06-24T01:00","OZONE","21.0","PPB"
"37.7658","-122.3978","2016-06-24T01:00","NO2","4.0","PPB"
"37.7658","-122.3978","2016-06-24T01:00","CO","0.38","PPM"
"37.7658","-122.3978","2016-06-24T02:00","PM2.5","5.3","UG/M3"
"37.7658","-122.3978","2016-06-24T02:00","OZONE","20.0","PPB"
"37.7658","-122.3978","2016-06-24T02:00","NO2","4.0","PPB"
"37.7658","-122.3978","2016-06-24T02:00","CO","0.37","PPM"
"37.7658","-122.3978","2016-06-24T03:00","PM2.5","4.8","UG/M3"
"37.7658","-122.3978","2016-06-24T03:00","OZONE","20.0","PPB"
"37.7658","-122.3978","2016-06-24T03:00","NO2","4.0","PPB"
"37.7658","-122.3978","2016-06-24T03:00","CO","0.37","PPM"
"37.7658","-122.3978","2016-06-24T04:00","PM2.5","4.5","UG/M3"
"37.7658","-122.3978","2016-06-24T04:00","OZONE","19.0","PPB"
"37.7658","-122.3978","2016-06-24T04:00","NO2","5.0","PPB"
"37.7658","-122.3978","2016-06-24T04:00","CO","0.4","PPM"
"37.7658","-122.3978","2016-06-24T05:00","OZONE","18.0","PPB"
"37.7658","-122.3978","2016-06-24T05:00","PM2.5","4.0","UG/M3"
"37.7658","-122.3978","2016-06-24T05:00","NO2","5.0","PPB"
"37.7658","-122.3978","2016-06-24T05:00","CO","0.4","PPM"
"37.7658","-122.3978","2016-06-24T06:00","OZONE","18.0","PPB"
"37.7658","-122.3978","2016-06-24T06:00","PM2.5","4.1","UG/M3"
"37.7658","-122.3978","2016-06-24T06:00","NO2","3.0","PPB"
"37.7658","-122.3978","2016-06-24T06:00","CO","0.38","PPM"
"37.7658","-122.3978","2016-06-24T07:00","PM2.5","4.0","UG/M3"
"37.7658","-122.3978","2016-06-24T07:00","OZONE","17.0","PPB"
"37.7658","-122.3978","2016-06-24T07:00","NO2","2.0","PPB"
"37.7658","-122.3978","2016-06-24T07:00","CO","0.37","PPM"
"37.7658","-122.3978","2016-06-24T08:00","OZONE","17.0","PPB"
"37.7658","-122.3978","2016-06-24T08:00","PM2.5","3.7","UG/M3"
"37.7658","-122.3978","2016-06-24T08:00","NO2","2.0","PPB"
"37.7658","-122.3978","2016-06-24T08:00","CO","0.35","PPM"
"37.7658","-122.3978","2016-06-24T09:00","OZONE","16.0","PPB"
"37.7658","-122.3978","2016-06-24T09:00","PM2.5","3.7","UG/M3"
"37.7658","-122.3978","2016-06-24T09:00","NO2","2.0","PPB"
"37.7658","-122.3978","2016-06-24T09:00","CO","0.35","PPM"
"37.7658","-122.3978","2016-06-24T10:00","PM2.5","3.7","UG/M3"
"37.7658","-122.3978","2016-06-24T10:00","OZONE","15.0","PPB"
"37.7658","-122.3978","2016-06-24T10:00","NO2","2.0","PPB"
"37.7658","-122.3978","2016-06-24T10:00","CO","0.35","PPM"
"37.7658","-122.3978","2016-06-24T11:00","PM2.5","3.4","UG/M3"
"37.7658","-122.3978","2016-06-24T11:00","OZONE","14.0","PPB"
"37.7658","-122.3978","2016-06-24T12:00","PM2.5","3.6","UG/M3"
"37.7658","-122.3978","2016-06-24T12:00","OZONE","13.0","PPB"
