Date,Queries
2015-12-22,9793808
2015-12-23,9171748
2015-12-24,7649441
2015-12-25,7458903
2015-12-26,8507453
2015-12-27,9086109
2015-12-28,10035426
2015-12-29,9912634
2015-12-30,9763817
2015-12-31,8566011
2011-02-01,224964
2011-02-02,223616
2011-02-03,224532
2011-02-04,214061
2011-02-05,172672
2011-02-06,183377
2011-02-07,222941
2011-02-08,221781
2011-02-09,211309
2011-02-10,206047
2011-02-11,194215
2011-02-12,162676
2011-02-13,175914
2011-02-14,211669
2011-02-15,215969
2011-02-16,208007
2011-02-17,202807
2011-02-18,190050
2011-02-19,166261
2011-02-20,170311
2011-02-21,201364
2011-02-22,202995
2011-02-23,200359
2011-02-24,206022
2011-02-25,191122
2011-02-26,167815
2011-02-27,175579
2011-02-28,210326
2012-02-01,941863
2012-02-02,949232
2012-02-03,895152
2012-02-04,802858
2012-02-05,824034
2012-02-06,968565
2012-02-07,967360
2012-02-08,953356
2012-02-09,926774
2012-02-10,886763
2012-02-11,800455
2012-02-12,884994
2012-02-13,1067006
2012-02-14,1019602
2012-02-15,1017413
2012-02-16,1050940
2012-02-17,1049333
2012-02-18,928961
2012-02-19,967855
2012-02-20,1241271
2012-02-21,1245797
2012-02-22,1216978
2012-02-23,1201420
2012-02-24,1145801
2012-02-25,1030189
2012-02-26,1135691
2012-02-27,1320022
2012-02-28,1335345
2012-02-29,1428284
2013-02-01,1597136
2013-02-02,1446829
2013-02-03,1503294
2013-02-04,1716141
2013-02-05,1778896
2013-02-06,1781685
2013-02-07,1709374
2013-02-08,1676500
2013-02-09,1528030
2013-02-10,1595283
2013-02-11,1703061
2013-02-12,1699086
2013-02-13,1650846
2013-02-14,1601622
2013-02-15,1578891
2013-02-16,1480961
2013-02-17,1538655
2013-02-18,1724304
2013-02-19,1739391
2013-02-20,1711508
2013-02-21,1718839
2013-02-22,1621753
2013-02-23,1471957
2013-02-24,1594932
2013-02-25,1775201
2013-02-26,1780299
2013-02-27,1662840
2013-02-28,1640437
2014-02-01,4112281
2014-02-02,4281053
2014-02-03,4743743
2014-02-04,4676851
2014-02-05,4700145
2014-02-06,4594501
2014-02-07,4463161
2014-02-08,4189524
2014-02-09,4297182
2014-02-10,4679008
2014-02-11,4670077
2014-02-12,4675143
2014-02-13,4532077
2014-02-14,4308249
2014-02-15,4087203
2014-02-16,4186751
2014-02-17,4676621
2014-02-18,4587867
2014-02-19,4614524
2014-02-20,4685213
2014-02-21,4604291
2014-02-22,4250069
2014-02-23,4469830
2014-02-24,4984611
2014-02-25,4990103
2014-02-26,5049721
2014-02-27,4884945
2014-02-28,4793454
2015-02-01,7213254
2015-02-02,7944271
2015-02-03,7774725
2015-02-04,7684217
2015-02-05,7540908
2015-02-06,7145461
2015-02-07,6629725
2015-02-08,7034850
2015-02-09,7739968
2015-02-10,7204594
2015-02-11,7375089
2015-02-12,7397065
2015-02-13,7130012
2015-02-14,6579744
2015-02-15,7006241
2015-02-16,7794078
2015-02-17,7666871
2015-02-18,7610014
2015-02-19,7566208
2015-02-20,7386869
2015-02-21,7008301
2015-02-22,6336010
2015-02-23,8020244
2015-02-24,7847381
2015-02-25,7795547
2015-02-26,7751008
2015-02-27,7338833
2015-02-28,6850633
2016-02-01,11302936
2016-02-02,11125081
2016-02-03,11040910
2016-02-04,10847290
2016-02-05,10509774
2016-02-06,9711046
2016-02-07,10178672
2016-02-08,11305059
2016-02-09,11187421
2016-02-10,11038524
2016-02-11,10780142
2016-02-12,10498836
2016-02-13,9830796
2016-02-14,10198462
